============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Po (84)   Ion Mass= 217.9830
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer1
  Layer # 1 - Bottom Depth=100000.E-01 A
  Layer # 1 - Density =0003.0589 g/cm3
  Layer # 1 -  100 % of Xe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000330   2.7801E+02 -9.3053E+01 -2.2830E+02
0000331   5.9042E+02  3.2305E+01 -1.3324E+02
0000332   7.3273E+02 -2.9852E+02 -9.0550E+01
0000333   7.3851E+02  3.8202E+02  1.1709E+02
0000334   4.9686E+02  3.9540E+02 -1.4974E+02
0000335   3.1562E+02  1.4674E+02  2.7925E+01
0000336   1.2946E+02 -2.5942E+02  7.5637E+00
0000337   8.0529E+02  2.1048E+02 -3.2123E+02
0000338   5.8626E+02  4.0193E+02 -1.4805E+02
0000339   2.9356E+02 -2.4387E+02  3.8355E+01
0000340   5.8061E+02 -3.9606E+01  1.5440E+02
0000341   7.5140E+02 -2.4224E+02 -2.5285E+02
0000342   2.6420E+02 -2.4463E+02  3.7364E+02
0000343   5.4921E+02  3.1789E+01 -2.3344E+01
0000344   8.0356E+02  3.6823E+02 -1.2862E+02
0000345   4.5149E+02  2.3391E+02  4.2002E+02
0000346   3.1352E+02 -1.1711E+02 -2.1587E+02
0000347   7.8300E+02  1.6053E+01 -1.1792E+02
0000348   5.3172E+02 -4.5726E+01  5.1643E+01
0000349   2.2420E+02  6.5496E+01 -2.5138E+02
0000350   4.0603E+02 -3.1710E+02 -2.3303E+02
0000351   4.3382E+02 -2.2780E+02 -7.6519E+01
0000352   1.8595E+02 -1.6682E+01  7.3507E+01
0000353   4.8015E+02  7.0837E+02  7.0376E+00
0000354   9.4323E+02 -1.1808E+02 -2.1839E+02
0000355   3.4793E+02 -2.8349E+02  4.3110E+02
0000356   4.0067E+02 -2.2017E+02 -7.7030E+01
0000357   8.9649E+02 -1.6887E+02 -7.2392E+01
0000358   7.3832E+02 -3.0915E+02 -1.8222E+01
0000359   2.1004E+02 -9.2193E+00  9.0879E+01
0000360   7.8177E+02 -2.7889E+01  3.7522E+02
0000361   3.3617E+02  1.2761E+02  1.6277E+02
0000362   4.0431E+02  7.8430E+01 -1.3314E+00
0000363   4.0490E+02  1.7220E+01  2.5918E+02
0000364   5.4867E+02 -5.1750E+01  7.3495E+01
0000365   4.3283E+02  5.4395E+01  1.8773E+01
0000366   4.2382E+02  1.1868E+02 -3.2960E+00
0000367   8.2204E+02 -2.2708E+02 -1.3203E+02
0000368   1.1042E+03  1.1021E+02 -3.8415E+02
0000369   4.9378E+02 -5.9743E+01  2.0794E+00
0000370   7.2852E+02 -1.0099E+02 -1.0920E+02
0000371   7.6319E+02 -5.0488E+01  4.4844E+02
0000372   3.4794E+02 -1.6419E+02  1.4622E+02
0000373   9.7168E+02 -3.2418E+01 -3.6148E+02
0000374   7.5892E+02  7.6944E+01  7.3893E+01
0000375   6.0461E+02  4.2143E+02  5.0771E+02
0000376   6.7686E+02  8.2875E+01  6.0978E+01
0000377   6.3648E+02 -1.2610E+02  2.8326E+02
0000378   9.1419E+02 -4.3017E+01  1.9957E+02
0000379   1.1229E+03 -3.8305E-01  2.4620E+02
0000380   2.9369E+02  5.8189E+00  2.1861E+01
0000381   1.0958E+03  1.1068E+02  2.0622E+02
0000382   2.5356E+02  7.0346E+00 -2.3846E+02
0000383   5.7865E+02 -9.3200E+01  1.3141E+02
0000384   7.6969E+02  1.4884E+02  3.6211E+02
0000385   6.4291E+02 -6.0092E+01 -9.7538E+01
0000386   6.5947E+02  7.2142E+00 -3.4680E+02
0000387   2.4763E+02 -3.7026E+01 -1.5012E+02
0000388   4.7397E+02 -5.0170E+02 -3.5763E+02
0000389   3.9404E+02 -1.2697E+02  8.3742E+01
0000390   4.0745E+02 -4.1988E+01 -1.2797E+02
0000391   6.3618E+02  2.5143E+02  9.0465E+01
0000392   3.4465E+02  3.7591E+02  3.2958E+02
0000393   8.5639E+02  1.3108E+02  3.3042E+02
0000394   4.7826E+02  2.8737E+02 -8.8652E+01
0000395   6.2266E+02  1.9433E+02  3.6514E+02
0000396   4.7896E+02 -2.1091E+02  8.9658E+01
0000397   2.5265E+02  3.8980E+01  3.6761E+01
0000398   9.9274E+02  1.6681E+02  5.0502E+02
0000399   9.3274E+02  4.3299E+01  2.3994E+02
0000400   5.3224E+02  3.4281E+02  7.0740E+01
0000401   5.2550E+02 -3.1253E+01  1.6488E+02
0000402   8.9329E+02  2.3955E+02 -2.0920E+02
0000403   9.5365E+02 -2.0435E+02  6.8656E+01
0000404   3.6585E+02 -1.5254E+02  1.6830E+02
0000405   4.1464E+02 -1.5909E+02 -8.0440E+01
0000406   9.9364E+02 -1.0650E+02  1.8136E+01
0000407   5.7928E+02 -3.7456E+02 -1.7589E+02
0000408   7.6925E+02  1.0375E+02  2.8019E+02
0000409   5.4906E+02 -6.3035E+01 -6.0613E+01
0000410   4.9493E+02 -5.8482E-01  2.3385E+02
0000411   6.4549E+02 -1.5871E+02 -4.0173E+02
0000412   2.0578E+02  1.4942E+01  8.0399E+01
0000413   1.6206E+03  1.7812E+02  1.3213E+02
0000414   8.6223E+02  3.3201E+02 -1.1150E+02
0000415   1.1725E+03 -6.6179E+01  3.7632E+02
0000416   5.5497E+02  4.7157E+01 -1.9212E+02
0000417   4.8438E+02  1.3460E+02 -3.0853E+02
0000418   2.1342E+02  7.7818E+01  4.4211E+01
0000419   6.2115E+02  2.7004E+02  1.1380E+01
